titre,description,type_stage,duree,remuneration,format,secteur,ville_nom,responsabilites,profil_recherche,competences_techniques,status,date_debut,date_fin,company_email
Développeur FullStack,"Nous recherchons un(e) stagiaire passionné par le développement web pour intégrer notre équipe R&D. Vous travaillerez sur des projets innovants allant de la refonte de notre plateforme e-commerce à la mise en place de nouvelles APIs performantes. C'est une occasion unique d'apprendre aux côtés d'experts et de contribuer à des solutions utilisées par des milliers d'utilisateurs au Maroc. Vous serez impliqué dans toutes les phases du cycle de développement, de la conception technique à la mise en production.",Technique,3 mois,Non-payé,Hybride,Informatique,Tanger,"Conception et développement de nouvelles fonctionnalités avec Laravel 10|Mise en place d'APIs RESTful sécurisées et documentées|Intégrer de maquettes Figma complexes avec Tailwind CSS|Optimisation des performances côté serveur et base de données|Rédaction de tests unitaires pour assurer la qualité du code","Étudiant en Bac+4/5 en ingénierie logicielle ou informatique|Maîtrise solide du framework Laravel et des bases du PHP 8|Connaissance des frameworks front-end modernes (Vue.js ou React)|Curiosité intellectuelle et capacité d'apprentissage rapide|Une première expérience personnelle ou associative en développement est un plus","Laravel|Vue.js|Tailwind CSS|PHP|MySQL","Active",2026-06-01,2026-08-31,contact@manpower.ma
Stage PFE Data Science,"Le groupe OCP propose un stage de fin d'études stimulant pour explorer le potentiel de la Data Science dans l'industrie. Votre mission consistera à analyser des données massives issues de nos capteurs industriels pour optimiser les flux logistiques. Vous travaillerez sur des problématiques complexes de maintenance prédictive et d'optimisation de la chaîne de valeur. C'est une opportunité exceptionnelle de mettre vos compétences en algorithmique et statistiques au service d'un leader mondial de l'industrie minière.",PFE,6 mois,Payé,Présentiel,Industrie,Casablanca,"Extraction et nettoyage de données provenant de sources hétérogènes|Analyse exploratoire des données pour identifier des patterns|Développement et entraînement de modèles de machine learning prédictifs|Visualisation des résultats via des dashboards interactifs (PowerBI/Tableau)|Rédaction d'un rapport technique détaillé sur les résultats obtenus","Étudiant en dernière année de cycle d'ingénieur ou Master Data Science|Maîtrise experte de Python et des bibliothèques Pandas et Scikit-learn|Capacité à vulgariser des concepts techniques pour les décideurs|Goût prononcé pour la résolution de problèmes mathématiques complexes|Un bon niveau d'anglais technique est requis pour la documentation","Python|Pandas|Scikit-learn|SQL|Tableau","Active",2026-04-01,2026-09-30,hr@ocp.ma
UX/UI Designer,"Rejoignez le pôle design de Capgemini pour transformer l'expérience numérique de nos clients. Vous collaborerez avec des Product Owners et Développeurs pour concevoir des interfaces intuitives et esthétiques pour des applications mobiles bancaires. Votre rôle sera crucial pour s'assurer que chaque interaction est fluide et répond aux besoins réels des utilisateurs finaux. Vous participerez à des ateliers de co-conception et défendrez vos choix graphiques basés sur des recherches utilisateurs concrètes.",Observation,1 mois,Non-payé,Télétravail,Design,Casablanca,"Réalisation d'audits UX approfondis sur les applications existantes|Création de wireframes basse fidélité et de prototypes haute fidélité sur Figma|Animation de tests utilisateurs pour valider les hypothèses de design|Création et maintenance du Design System interne de l'agence|Assurer la cohérence visuelle sur tous les supports numériques digitaux","Formation supérieure en Design Numérique, Arts Graphiques ou Multimédia|Maîtrise avancée des outils de design (Figma, Adobe Creative Cloud)|Solide culture visuelle et connaissance des tendances UI actuelles|Capacité à travailler en équipe agile et à communiquer ses idées|Un portfolio en ligne (Dribbble/Behance) est indispensable","Figma|UX Research|Design System|Prototypage|User Research","Active",2026-05-01,2026-05-31,talent@capgemini.com
Analyste Financier,"Intégrez l'un des pôles majeurs de la banque pour une immersion totale dans l'analyse de performance. En tant que stagiaire analyste, vous épaulerez nos experts dans la surveillance des risques et le pilotage financier. Vous aurez accès à des outils de pointe et participerez à la rédaction de synthèses destinées à la direction générale. Ce stage vous permettra de comprendre les rouages complexes de la finance de marché et de la banque de détail dans un environnement dynamique.",Technique,4 mois,Payé,Présentiel,Commerce,Casablanca,"Analyse des états financiers trimestriels et des bilans bancaires|Réalisation de reportings d'activité et suivi des indicateurs clés (KPIs)|Veille économique et réglementaire sur le secteur bancaire marocain|Support à la préparation du budget annuel et des prévisions financières|Participation à l'automatisation des outils de reporting Excel","Étudiant en école de commerce ou Master Finance/Comptabilité|Maîtrise experte de Microsoft Excel (Macros et Tableaux croisés dynamiques)|Rigueur, esprit de synthèse et aisance avec les chiffres|Capacité à travailler en toute autonomie sur des dossiers confidentiels|Bonne maîtrise de l'Arabe et du Français à l'écrit comme à l'oral","Excel expert|Analyse financière|Comptabilité|VBA","Active",2026-07-01,2026-10-31,contact@attijari.ma
Administrateur Systèmes,"Accompagnez l'équipe IT de Maroc Telecom dans ses projets de modernisation d'infrastructure. Vous participerez activement à la maintenance et à l'évolution de nos serveurs Linux supportant des millions d'utilisateurs. Votre mission inclura également la sécurisation des accès réseau et l'optimisation des performances système. C'est un stage technique de haut niveau où vous apprendrez à gérer des environnements critiques sous haute disponibilité avec des standards de sécurité exigeants.",Technique,3 mois,Non-payé,Hybride,Informatique,Rabat,"Assurer le support technique de niveau 1 et 2 sur les incidents système|Installation et configuration de nouveaux serveurs physiques et virtuels|Mise en place de solutions de monitoring (Nagios/Zabbix)|Automatisation des tâches d'administration via des scripts Shell|Rédaction de procédures techniques pour l'exploitation courante","Formation Bac+3/4 en réseaux et systèmes informatiques|Bonnes connaissances administratives des environnements Linux (Debian/CentOS)|Bases solides en réseaux (modèle OSI, switching, routage IP)|Dynamisme, curiosité technologique et esprit d'équipe|Capacité d'analyse rapide pour la résolution d'incidents techniques","Linux|Networking|Cisco|Docker|Shell Scripting","Active",2026-06-15,2026-09-15,hr@iam.ma
Ingénieur DevOps,"Intégrez une équipe agile à la pointe de l'innovation logicielle pour automatiser nos cycles de release. En tant qu'Ingénieur DevOps stagiaire, vous participerez à la mise en place de pipelines CI/CD modernes et à la conteneurisation de nos services. Votre mission sera d'optimiser la collaboration entre les développeurs et les équipes d'exploitation pour garantir des déploiements rapides et sécurisés. Vous évoluerez dans un environnement cloud-native utilisant les dernières technologies du marché.",PFE,6 mois,Payé,Hybride,Informatique,Casablanca,"Développement et maintenance des pipelines CI/CD (GitLab CI/Jenkins)|Automatisation du provisionnement d'infrastructure (Terraform/Ansible)|Conteneurisation des micro-services avec Docker et déploiement Kubernetes|Mise en œuvre de solutions de monitoring et d'alerting centralisées|Participer à l'amélioration continue de la sécurité des infrastructures","Étudiant en dernière année d'école d'ingénieur spécialité Cloud/DevOps|Passion pour l'automatisation et la culture SRE (Site Reliability Engineering)|Connaissances théoriques et pratiques sur Docker et Kubernetes|Rigueur, autonomie et capacité à travailler en mode collaboratif agile|Très bon niveau d'anglais indispensable pour l'environnement technique","Docker|Kubernetes|CI/CD|Terraform|AWS","Active",2026-02-01,2026-07-31,hr@iam.ma
Consultant Junior,"Le cabinet Manpower propose un stage gratifiant au sein de son entité conseil pour accompagner la transformation digitale de ses clients strategic. Vous serez formé aux méthodologies de conseil les plus performantes (Lean, Agile, Six Sigma) et participerez à des missions variées : du diagnostic de l'existant à la préconisation de solutions. C'est une immersion réelle dans le métier de consultant où vos capacités d'analyse et votre sens de la relation client seront mis à l'épreuve quotidiennement.",Technique,4 mois,Payé,Présentiel,Autre,Casablanca,"Participation aux ateliers de recueil et d'analyse des besoins clients|Réalisation d'études de marché et de benchmarks concurrentiels|Suivi opérationnel des chantiers de transformation digitale|Préparation de supports de présentation de haut niveau pour les comités|Rédaction de comptes-rendus et reporting d'avancement des projets","Étudiant en école de commerce, de gestion ou cycle d'ingénieur|Excellente communication orale et écrite en Français et Anglais|Esprit d'analyse, de synthèse et force de proposition|Maîtrise des outils de présentation et de gestion de projet|Capacité d'adaptation rapide à des secteurs d'activité variés","Project Management|Agile|Business Analysis|Office 365","Active",2026-03-01,2026-06-30,contact@manpower.ma
Chargé RH,"Manpower Maroc recrute un(e) stagiaire Chargé(e) de Ressources Humaines pour sa direction régionale à Tanger. Vous assistez l'équipe RH dans le cycle complet du recrutement, de la diffusion des offres à l'intégration des collaborateurs. C'est une mission polyvalente qui vous permettra de découvrir les spécificités de la gestion des talents dans un cabinet international. Vous serez également impliqué dans l'administration du personnel et le suivi des formations internes.",Technique,3 mois,Non-payé,Présentiel,Autre,Tanger,"Rédaction et publication d'offres de stage et d'emploi sur divers jobboards|Sourcing de candidats sur LinkedIn et tri de CV entrants|Réalisation d'entretiens de pré-sélection téléphonique des candidats|Gestion administrative des dossiers collaborateurs (contrats, visites médicales)|Participation à l'organisation de forums de recrutement et d'événements RH","Étudiant en licence ou master spécialisé en Management des RH|Excellent sens de l'écoute, de l'observation et du relationnel|Organisation exemplaire et respect strict de la confidentialité|Maîtrise des outils bureautiques courants (Word, PowerPoint)|Curiosité pour les nouvelles méthodes de recrutement digital (E-recrutement)","Sourcing|Entretien RH|Droit du travail|Excel","Active",2026-05-01,2026-07-31,contact@manpower.ma
Développeur Mobile Flutter,"Intégrez notre centre d'excellence mobile pour concevoir des applications cross-platform performantes avec Flutter. Vous travaillerez sur des projets mobiles d'envergure nationale en étroite collaboration avec nos experts UX/UI. Votre mission sera de transformer des maquettes innovantes en composants mobiles fluides et réactifs. Ce stage est une opportunité idéale pour monter en compétence sur l'écosystème Dart et découvrir les bonnes pratiques de développement mobile industriel.",Technique,4 mois,Payé,Hybride,Informatique,Casablanca,"Développement de nouvelles interfaces mobiles fluides avec Flutter/Dart|Consommation de services web et APIs RESTful avec gestion du cache|Optimisation des performances graphiques et gestion des animations complexes|Réalisation de tests unitaires et d'intégration sur les modules développés|Migration progressive de composants existants vers des standards modernes","Étudiant passionné par le développement mobile (Android/iOS)|Maîtrise du langage Dart et du framework Flutter (State Management)|Bonne compréhension des architectures logicielles (Clean Architecture)|Force de proposition sur l'amélioration de l'expérience utilisateur mobile|Autonomie technique et goût prononcé pour le travail en équipe agile","Flutter|Dart|Firebase|Git|REST API","Active",2026-04-01,2026-07-31,hr@ocp.ma
Assistant Marketing Digital,"Accompagnez l'équipe marketing de Capgemini dans le déploiement de sa stratégie digitale au Maroc. Vous serez au cœur de la création de contenus engageants pour booster notre marque employeur sur les réseaux sociaux. Vos missions seront variées : de la rédaction de posts LinkedIn créatifs à l'analyse de nos campagnes de visibilité en ligne. C'est un stage idéal pour une personne créative, autonome et passionnée par les nouvelles tendances du marketing 2.0 et de la communication digitale.",Technique,2 mois,Non-payé,Télétravail,Marketing,Marrakech,"Animation et modération de nos communautés sur LinkedIn, Instagram et Twitter|Création de visuels et de courtes vidéos via des outils comme Canva/Loom|Rédaction d'articles de blog et de newsletters pour nos clients et candidats|Réalisation de veilles concurrentielles sur les tendances du digital|Suivi et analyse des performances des campagnes via Google Analytics","Étudiant en marketing, communication ou école digitale|Excellentes capacités rédactionnelles et orthographe irréprochable|Maîtrise des codes et usages des différents réseaux sociaux professionnels|Créativité, autonomie et capacité à proposer des concepts originaux|Bases en SEO (référencement naturel) et en outils de création graphique","Social Media|Canva|SEO|Google Analytics|Copywriting","Active",2026-06-01,2026-07-31,talent@capgemini.com
